ACCTAGE,DDA,DDABAL,DEP,DEPAMT,CASHBK,CHECKS,DIRDEP,NSF,NSFAMT,PHONE,TELLER,SAV,SAVBAL,ATM,ATMAMT,POS,POSAMT,CD,CDBAL,IRA,IRABAL,LOC,LOCBAL,INV,INVBAL,ILS,ILSBAL,MM,MMBAL,MMCRED,MTG,MTGBAL,CC,CCBAL,CCPURC,SDB,INCOME,HMOWN,LORES,HMVAL,AGE,CRSCORE,MOVED,INAREA,INS,BRANCH,RES
2.1,1,255.64,1,320.92,2,3,1,0,0,0,3,1,15819.49,1,290.71,0,0,0,0,0,0,1,12.3,1,0,0,0,1,12830.30287,0,0,0,1,68.71,0,0,15,1,9.5,84,54,671,0,1,,B4,S
0.3,1,290.23,2,784.18,0,2,0,1,6.13,1,0,0,0,1,1087.93,7,86.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1,7.5,123,82,734,0,1,,B5,U
0.8,1,638.46,6,3448.27,0,14,0,1,3.46,3,2,1,67.18,1,3470.71,12,555.05,0,0,0,0,0,0,0,0,1,9970.977388,0,0,0,0,0,1,2313.59,0,0,15,1,7,86,49,698,0,1,,B4,R
0.9,1,165.82,1,51.69,0,0,0,0,0,0,1,1,1977.97,0,0,0,0,1,31600,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,647,0,1,,B1,U
10.3,1,6722.59,2,893.69,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,659,0,1,,B2,U
4.6,1,27.48,3,1941.33,0,5,0,0,0,,1,0,0,1,80.97,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,,0,15,0,6,93,55,649,0,1,,B15,S
4.8,1,114.03,4,2001.42,0,3,0,1,51.18,,7,1,36.1,1,910.75,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,,1,32,1,9.5,117,35,660,0,1,,B18,U
0.9,1,1218.85,1,18.03,0,0,0,0,0,0,1,0,0,1,5.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,4.5,96,50,723,0,1,,B5,U
4.6,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,,0,24,1,7.5,94,27,627,0,1,,B15,S
0.6,1,220.54,6,1182.59,0,3,1,0,0,3,9,0,0,1,366.52,1,75.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,8,74,66,690,0,1,,B2,S
5.8,1,50.41,0,0,0,0,0,0,0,0,0,1,1482.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,1,7.5,127,57,668,0,1,,B2,U
1.9,1,7712.4,4,947.66,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,77,1,6.5,125,57,639,0,1,,B8,U
6,1,456.4,3,4029.16,0,5,1,0,0,,2,0,0,0,0,,,0,0,0,0,0,0,,,0,0,1,15396.67126,0,0,0,,,,0,62,1,11.5,104,61,717,0,1,,B15,U
14.6,0,0,0,0,0,0,0,0,0,0,0,1,12861.42,0,0,0,0,0,0,1,3291.89,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,14,0,4.5,109,28,575,0,1,,B4,U
1.5,1,705.99,2,2441.24,0,2,0,1,5.58,,1,1,209.74,1,50.76,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,,0,55,1,6,108,65,665,0,1,,B15,U
4.8,1,5738.52,1,2919.68,0,1,0,0,0,0,1,0,0,1,11.48,0,0,0,0,0,0,0,0,0,0,0,0,1,18894.41551,0,0,0,1,166.34,0,0,38,1,9.5,109,57,659,0,1,,B1,U
4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10933.87727,0,0,0,0,0,1,2309.08,0,0,60,1,8.5,114,39,683,0,1,,B7,S
16.9,1,9.78,1,7.42,0,0,0,0,0,,1,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,,0,102,1,11,123,48,724,0,1,,B18,S
,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,,0,53,1,8,105,46,670,0,0,,B14,U
4.5,1,4043.85,4,1794.52,0,9,1,0,0,0,1,0,0,1,808.15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,34,1,10.5,109,45,665,0,1,,B2,U
14.6,1,49478.57,3,2548.87,0,4,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49407.45029,2,0,0,0,0,0,0,9,1,6.5,165,58,681,0,1,,B3,U
,1,7262.43,3,2614.53,0,12,1,0,0,0,2,0,0,1,2604.43,0,0,1,82300,0,0,0,0,0,0,0,0,0,0,0,0,0,1,760.84,1,0,42,0,5,129,67,702,0,1,,B4,U
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,337.58,0,0,17,1,6,98,57,698,0,1,,B6,S
3.5,1,636.13,3,1766.53,0,1,0,0,0,0,1,1,7.99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,738,0,1,,B1,U
1.5,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,1,0,,,1,9974.347318,1,14916.43127,0,1,333138.64,,,,0,35,1,5,111,33,660,0,1,,B15,S
0.6,1,399.77,2,617.48,0,0,1,0,0,0,2,1,0,1,268.08,0,0,1,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,1,7.5,102,,,0,1,,B5,U
5.5,0,0,0,0,0,0,0,0,0,0,0,1,1650.66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,863.24,1,1,28,1,7.5,82,73,714,0,1,,B4,S
5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,123100,0,0,0,0,0,0,0,0,1,14881.76324,1,0,0,1,98.95,0,1,35,1,10,103,65,755,0,0,,B4,R
2,1,1144.34,1,1296.2,0,2,0,0,0,0,1,1,1713.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,126.17,0,1,18,1,9.5,89,30,647,0,1,,B3,U
3.3,1,2630.9,2,3842.11,0,6,0,0,0,,0,0,0,1,9146.38,,,0,0,1,13959.49,0,0,,,0,0,0,0,0,1,255673.63,,,,0,55,1,3.5,129,42,643,0,1,,B15,U
26.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,8,91,85,726,0,0,,B16,R
4,1,2858.46,4,3344.13,0,11,1,0,0,0,7,1,7576.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3550.95,0,0,53,0,6,123,42,604,0,1,,B9,S
10.1,1,5073.31,3,4516.08,0,14,1,0,0,0,10,1,27817.43,0,0,0,0,1,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1866.01,0,0,19,1,12,88,68,680,0,1,,B4,U
3.9,1,183.12,3,746.68,0,1,0,0,0,1,0,0,0,1,1099.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,683,0,1,,B2,U
12.8,1,299.58,4,912.31,0,4,1,1,13.98,4,1,1,291.15,1,1210.69,4,152.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,635,0,1,,B5,U
10.7,1,8115.19,2,718.39,0,3,0,0,0,0,0,1,556.97,1,865.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,116,0,2,171,59,694,0,1,,B4,U
10.1,1,1633.58,5,3696.46,0,11,1,0,0,,0,1,1668.13,1,3965.81,,,0,0,0,0,1,12202.57,,,0,0,0,0,0,0,0,,,,0,45,1,13.5,107,30,663,0,1,,B19,U
22.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41.33,0,0,45,0,5.5,119,69,697,0,0,,B5,S
4.1,1,889.89,2,2012.68,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,10,94,51,629,0,1,,B3,S
3.8,0,0,0,0,0,0,0,0,0,0,0,1,262.48,1,143.9,0,0,1,3600,1,49.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,659,0,1,,B7,S
3.5,1,575.52,2,954,0,7,0,0,0,0,3,1,422.54,1,111.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,8,110,60,650,0,1,,B6,U
4,1,1391.42,2,1117.18,0,3,0,0,0,0,0,0,0,1,1391.36,4,279.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,4,100,41,647,0,1,,B1,U
2.7,1,199.13,2,559.5,0,1,0,0,0,0,2,1,45.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8,70,57,710,0,1,,B7,S
2.5,1,2667.87,4,1435.59,0,8,0,0,0,0,4,1,7052.59,1,268.85,0,0,1,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,8,102,41,646,0,1,,B8,R
1.8,1,565.39,2,936.79,0,2,0,0,0,1,1,1,196.41,1,464.12,1,35.91,1,8600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,8,82,64,689,0,1,,B5,S
1.3,1,622.73,1,0.01,0,0,0,0,0,0,0,1,26.45,0,0,0,0,1,500,0,0,1,11466.04,0,0,1,9996.413465,1,15321.18952,2,0,0,1,78876.95,2,0,,,,,,604,0,1,,B3,S
0.6,1,1051.69,3,2261.93,0,5,0,0,0,0,6,0,0,1,413.65,4,179.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2505.6,1,0,10,0,6,83,34,685,0,1,,B2,U
3.2,1,1359.8,1,13.26,0,0,0,0,0,,0,1,1119.49,1,2337.95,,,0,0,0,0,0,0,,,1,9977.587138,0,0,0,1,47652.41,,,,1,20,1,6.5,99,58,754,0,1,,B14,S
2.4,1,150.79,2,263.51,0,2,0,0,0,0,3,1,63.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44.45,0,1,24,0,6,100,27,588,0,1,,B4,U
2.7,1,266.71,2,255.15,0,3,1,0,0,0,1,1,100.98,1,22.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,155.64,0,0,20,1,7.5,93,71,719,0,1,,B16,R
5.4,1,4672.81,2,2990.7,0,2,0,0,0,0,0,0,0,1,2737.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,8,133,46,689,0,1,,B17,R
3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,14.5,112,52,639,0,1,,B5,S
2.3,1,3446.41,2,2451.54,0,2,0,0,0,0,3,0,0,1,475.79,0,0,1,12100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,625,0,1,,B2,U
4.8,1,213.76,2,703.57,0,0,0,0,0,0,1,0,0,1,0,1,44.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,4.5,92,48,636,0,1,,B7,U
4,1,544.54,2,562.96,0,2,0,0,0,0,0,1,19092.55,1,2728.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,7,95,27,660,0,1,,B4,S
3.3,1,6142.25,5,5062.03,0,19,1,0,0,6,0,1,1420.94,1,1836.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,443.64,0,0,22,1,8,99,68,704,0,1,,B4,S
4.3,1,73.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6830.26,0,0,96,1,6,125,41,581,0,1,,B5,S
5.2,1,1075.76,3,2037.69,0,4,0,0,0,,0,0,0,1,2491.91,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,,0,,,,,,731,0,1,,B15,S
5.6,1,1852.54,2,1519.71,0,2,0,0,0,0,1,1,10186.13,1,295.05,0,0,1,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,67.1,0,0,,,,,,655,0,1,,B3,S
3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,5,106,45,607,0,1,,B1,S
5.8,1,16026,2,1471.81,0,2,0,0,0,0,2,1,1240.75,1,58.39,0,0,0,0,1,3009.92,0,0,0,0,0,0,0,0,0,0,0,1,405.66,1,0,5,1,10.5,124,74,743,0,1,,B16,R
4.3,1,124.73,0,0,0,0,0,0,0,0,0,1,2767.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,9.5,95,21,664,0,0,,B6,U
3.6,1,1689.9,3,4996.96,0,28,0,0,0,0,0,1,636.26,1,2598.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,1,6,114,54,633,0,1,,B5,U
0.5,1,57.24,2,931.57,0,1,0,0,0,0,0,1,23.75,1,1127.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,699,0,1,,B5,R
3.5,1,1443.03,2,2392.66,0,12,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,5842.07,0,0,0,0,1,16115.63854,0,0,0,1,11264.98,2,0,50,0,2.5,116,40,660,0,1,,B4,S
11.6,1,13072.37,2,4981.51,0,4,0,0,0,0,3,1,12.73,1,1207.94,3,360.57,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,62,0,4.5,136,60,634,0,1,,B2,U
2.8,1,887.64,1,342.43,0,0,0,0,0,0,1,1,6005.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.51,0,0,61,1,9,116,58,698,0,1,,B5,U
4.3,1,580.15,1,147.51,0,2,1,0,0,0,0,0,0,1,124.1,1,31.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,845.17,0,0,35,1,7,102,43,644,0,1,,B7,R
4.1,1,259.78,4,2078.45,0,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2658.43,0,0,11,0,7,99,35,671,0,1,,B4,S
6.7,1,684.24,2,1594.05,0,5,0,1,4.69,0,0,1,1267.47,1,2078.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,688,0,1,,B2,S
1.8,1,604.12,5,2184.05,0,9,1,1,9.62,2,0,1,473.07,1,1489.81,16,700.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,385.28,2,0,68,1,6,103,80,726,0,1,,B17,R
9.2,1,237.65,4,2613.46,0,8,1,0,0,,3,1,91.24,1,174.78,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,,1,,,,,,693,0,1,,B18,U
9.4,1,315.83,5,2051.74,0,11,0,0,0,0,2,0,0,1,2449.13,1,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,1,9,115,50,642,0,1,,B4,S
12.3,1,1121.43,3,14026.01,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,329.08,0,0,67,1,8,111,51,680,0,1,,B7,R
0.3,1,9065.36,1,316.85,0,0,0,0,0,,4,1,2500.49,0,0,,,0,0,1,0,1,39266.05,,,0,0,0,0,0,1,175774.19,,,,0,25,1,8,127,41,652,0,1,,B15,U
7.1,1,1119.75,2,947.94,0,3,1,0,0,,0,1,12139.58,1,1300.21,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,,0,61,0,8,122,65,707,0,1,,B15,U
4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2072.11,0,0,46,0,5.5,126,37,637,0,1,,B4,U
3.3,1,89.35,0,0,0,0,0,0,0,0,0,1,3559.93,0,0,0,0,1,52700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1,8.5,103,81,654,0,0,,B4,U
13.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,53,1,8,100,63,660,0,1,,B4,U
0.3,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,,0,10,0,7.5,95,56,717,0,0,,B15,U
2.7,1,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,1,6,131,51,706,0,0,,B2,R
0.9,1,456.55,4,1515.04,0,4,0,0,0,0,3,1,2170.13,1,858.02,2,150.66,0,0,1,36,0,0,1,12789.13,0,0,0,0,0,0,0,0,0,0,1,15,1,7.5,100,52,619,1,1,,B2,U
3,1,7.65,2,469.75,0,0,0,0,0,0,0,1,0,1,1096.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,616,0,1,,B2,R
16.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,777.33,0,0,27,0,6.5,122,53,719,0,1,,B13,S
7.5,1,10.4,1,193.23,0,0,0,0,0,0,0,0,0,1,189.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,4,121,56,676,0,1,,B5,U
4.6,1,808.56,2,2104.79,0,4,1,0,0,0,1,1,32000.96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,652,0,1,,B4,S
3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,9,121,49,684,0,1,,B8,S
11.1,1,14639.81,2,4130.21,0,5,1,0,0,0,4,0,0,1,3544.51,0,0,0,0,0,0,0,0,0,0,0,0,1,25091.97098,0,0,0,0,0,0,0,9,0,4.5,116,31,602,0,1,,B1,U
2.2,1,72.98,4,1646.06,0,4,1,1,14.31,0,0,0,0,1,1822.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,10,92,57,677,0,1,,B1,S
1.5,1,901.7,2,2251.23,0,2,0,0,0,0,0,1,1385.87,1,1021.39,0,0,1,51400,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.59,0,0,73,0,2.5,130,54,665,0,1,,B2,S
7.2,1,143.01,2,522.78,0,3,0,0,0,0,0,0,0,1,811.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,1,5,144,32,605,0,1,,B9,S
16.8,1,3250.39,2,2999.19,0,5,1,0,0,0,1,1,31153.15,1,57.66,0,0,1,10300,1,16032.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,656,0,1,,B8,U
,1,2509.22,2,828.6,0,8,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,770,1,1,,B4,U
0.8,1,480.25,1,91.88,0,0,0,0,0,,3,1,2046,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,,0,35,0,5.5,114,55,721,0,1,,B15,R
0.8,1,134.53,2,751.16,0,0,0,0,0,0,0,0,0,1,1499.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,4.5,106,33,573,0,1,,B17,R
4.5,1,176.52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1,10.5,101,46,639,0,1,,B8,U
7.8,1,7914.41,0,0,0,0,0,0,0,0,0,1,3638.14,0,0,0,0,1,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1,9,120,44,674,0,0,,B5,U
,1,421.28,3,1892.3,0,3,0,0,0,0,0,1,10153.8,1,3392.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,29,0,5.5,108,46,646,0,1,,B4,U
2.2,1,2396.99,6,2244.5,0,2,1,0,0,1,0,1,65.8,1,599.44,22,203.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,5,106,40,653,0,1,,B7,U
12.2,1,486.53,5,1546.95,0,5,0,0,0,2,1,0,0,1,1093.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2054.34,0,0,66,0,5,119,46,670,0,1,,B4,U
4,0,0,0,0,0,0,0,0,0,,0,1,37372.04,0,0,,,0,0,1,25894.79,0,0,,,0,0,0,0,0,0,0,,,,1,54,0,4.5,129,30,596,0,0,,B15,U
6.3,1,81.44,2,428.51,0,1,0,0,0,0,0,1,12.36,1,1299.74,0,0,1,27800,0,0,0,0,1,0,0,0,1,15181.10034,1,0,0,1,0,1,1,1,0,4,97,28,696,0,1,,B16,R
4.2,1,1133,2,2085.56,1,4,1,0,0,2,0,0,0,1,258.52,2,231.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,9,107,62,684,0,1,,B2,R
4.4,0,0,0,0,0,0,0,0,0,,0,1,29015.96,0,0,,,0,0,0,0,0,0,,,0,0,1,11148.04038,0,0,0,,,,0,,,,,,636,0,1,,B14,R
6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15165.63371,0,0,0,0,0,0,0,37,1,6.5,101,51,649,0,1,,B3,U
4.6,1,5106.8,2,3719.56,0,1,0,0,0,,3,1,0,1,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,,0,103,1,8.5,153,32,652,0,1,,B14,S
